Nombre,Municipio,Categoria,Modalidad,Email,Telefono,Web,Score_Responsabilidad,Motivo_Sector,Motivo_Arraigo,Motivo_Capacidad,Evidencia_Noticias,Analisis_Raw
EXPERIENCIAS NAUTICAS ALICANTE,TORREVIEJA,,,isidororebollo@yahoo.es,655952167,http://www.alicantenauticalxperience.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.""]"
ALICANTE BOAT TOURS,ALACANT/ALICANTE,,,alicanteboattours@gmail.com,602519239,http://ALICANTEBOATTOURS.COM,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
TUK TOUR ALICANTE,ALACANT/ALICANTE,,,mikeldifr@gmail.com,622358535,http://ALICANTETUKTUK.COM,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
WATERSPORTS ALICANTE,ALACANT/ALICANTE,,,watersportsalicante@gmail.com,603708822,http://watersportsalicante.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
HUERTO DEL CURA,ELX/ELCHE,HOTEL,HOTEL,reservas@huertodelcura.com,,http://www.hotelhuertodelcura.com,3.0,Sector GVA 'HOTEL' (+1.0): Actividad relevante.,Municipio Prioritario 'ELX/ELCHE' (+1.0): Sede en zona clave.,,"{""sector"": 1.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 1.0, ""cre_bonus"": 0.0}","[""Sector GVA 'HOTEL' (+1.0): Actividad relevante."", ""Municipio Prioritario 'ELX/ELCHE' (+1.0): Sede en zona clave."", ""Actualidad Social (+1.0): Basado en evidencias de prensa.""]"
IBI,IBI,HOTEL,HOTEL,info@hotelibi.es,,www.hotelibi.es,3.0,Sector GVA 'HOTEL' (+1.0): Actividad relevante.,Municipio Estándar (+0.0),,"{""sector"": 1.0, ""territory"": 0.0, ""financial"": 0.0, ""news"": 2.0, ""cre_bonus"": 0.0}","[""Sector GVA 'HOTEL' (+1.0): Actividad relevante."", ""Actualidad Social (+2.0): Basado en evidencias de prensa.""]"
OCIOMAR TORREVIEJA,TORREVIEJA,,,info@ociomar.es,672413370,http://www.ociomar.es,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.""]"
DIVECOSTABLANCA,ORIHUELA,,,inof@divecostablanca.com,,,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ORIHUELA' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ORIHUELA' (+1.0): Sede en zona clave.""]"
PALAIGUA,ALACANT/ALICANTE,,,palaiguasurf@gmail.com,675750763,,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
CARLOS VIDAL ROMAN,ALACANT/ALICANTE,,,carlosvidal11@gmail.com,636424020,http://siquepasa.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
YO BUCEO,TORREVIEJA,,,torrevieja@yobuceo.es,678490694,https://yobuceo.es/centros-de-buceo/torrevieja/,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.""]"
AWAKE SENSES,ALACANT/ALICANTE,,,info@awakesenses.com,666 313 166,https://www.awakesenses.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
NISOS BENIDORM,BENIDORM,,,info@nisosbenidorm.com,609878013,www.nisosbenidorm.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.""]"
CABLE-SKI BENIDORM,BENIDORM,,,info@cableskibenidorm.com,639612713,http://cableskibenidorm.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.""]"
PAINTBALL BENIDORM,BENIDORM,,,670913622,711755603,https://paintball-benidorm.com/,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.""]"
ESCUELA J CHARTER OCÁNO,ALACANT/ALICANTE,,,INFO@ACADEMIANAUTICAOCEANO.COM oceanoalicante@ono.com,640348052,WWW.ACADEMIANAUTICAOCEANO.COM,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
BLUE BIKE,ALACANT/ALICANTE,,,info@bluebike.es,674676362,,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
AQUAVENTURA,ALACANT/ALICANTE,,,rosaaquaventura@gmail.com,607 892 410,https://www.aquaventurabuceo.es,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
AQUASPORTS BENIDORM,BENIDORM,,,comercial@benmarineworld.com,692454267,,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.""]"
ELCHE PALMERAL AVENTURAS,ELX/ELCHE,,,info@multiaventuraelche.com,965 995 012,https://multiaventuraelche.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ELX/ELCHE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ELX/ELCHE' (+1.0): Sede en zona clave.""]"
REAL CLUB NAUTICO TORREVIEJA,TORREVIEJA,,,info@rcnt.com,965 71 01 12,https://www.rcnt.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.""]"
LA BOCANA WATER SPORTS CENTER,TORREVIEJA,,,info@labocana.es,+34 656 901 978,http://www.labocana.es,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.""]"
COMFORT SAILING,ALACANT/ALICANTE,,,reservas@arquitecturanegra.com,628318644,,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
ODISEA DIVING,TORREVIEJA,,,info@odiseadiving.com,966704901,http://odiseadiving.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.""]"
TORREVIEJA CHARTER EXPERIENCE,TORREVIEJA,,,torreviejacharterexperience@gmail.com,625081063,www.torreviejanauticalexperience.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.""]"
CARLOS WATER SPORTS BENIDORM,BENIDORM,,,serranocashman@nestcape.net,687631278,https://carloswatersportsbenidorm.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.""]"
"CERBUQUES, S.L.",BENIDORM,,,INFO@EMB2000.ES,965853101,,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'BENIDORM' (+1.0): Sede en zona clave.""]"
JAVIER LÓPEZ SOLER,TORREVIEJA,,,alquilerdebarcos@hotmail.com,607917826,www.alquilerbarcotorrevieja.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.""]"
CABO ROIG CHARTER,ORIHUELA,,,oriolcarpe@hotmail.com,633100270,http://caboroigcharter.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ORIHUELA' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ORIHUELA' (+1.0): Sede en zona clave.""]"
GO-KARTS ORIHUELA COSTA,ORIHUELA,,,correo@gokartsorihuelacosta.com,965 32 80 69,https://gokartsorihuelacosta.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ORIHUELA' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ORIHUELA' (+1.0): Sede en zona clave.""]"
CENTRO BUCEO ALTAIR,ALACANT/ALICANTE,,,reservas@alicantebuceo.es,634 95 90 13,https://alicantebuceo.es,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
TABARCA SNORKEL,ALACANT/ALICANTE,,,tabarcasnorkel@gmail.com,622208127,http://www.tabarcasnorkel.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
AKRABOATS,ALACANT/ALICANTE,,,info@akraboats.com,635515697,http://akraboats.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
COSTA BLANCA NORDIC WALKING,ELX/ELCHE,,,info@nordicwalkingalicante.es,670 819 871,https://www.nordicwalkingalicante.es,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ELX/ELCHE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ELX/ELCHE' (+1.0): Sede en zona clave.""]"
LA SAL CENTRO DE BUCEO,ALACANT/ALICANTE,,,aitanamar@@aitanamar.com,664875587,http://www.lasaldivingcenteralicante.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
ADVENTURE BOAT S.L.,TORREVIEJA,,,info@adventureboat.es,655 927 358,http://www.adventureboat.es,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.""]"
SCOOTATRIP,ELX/ELCHE,,,info@scootatrip.es,(+34) 649 088 076,https://www.scootatrip.es,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ELX/ELCHE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ELX/ELCHE' (+1.0): Sede en zona clave.""]"
HIKINGALICANTE,ALACANT/ALICANTE,,,hikingalicante@gmail.com,660507225,http://www.hikingalicante.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
SAILOR'S CHARTER,ALACANT/ALICANTE,,,sailorscharter@gmail.com,619171695,http://WWW.SAILORSCHARTER.COM,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'ALACANT/ALICANTE' (+1.0): Sede en zona clave.""]"
AT SEA BOAT RENTAL,TORREVIEJA,,,info@atseaboatrental.com,633232270,http://www.atseaboatrental.com,3.0,Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante.,Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.,,"{""sector"": 2.0, ""territory"": 1.0, ""financial"": 0.0, ""news"": 0.0, ""cre_bonus"": 0.0}","[""Sector GVA 'TURISMO ACTIVO' (+2.0): Actividad relevante."", ""Municipio Prioritario 'TORREVIEJA' (+1.0): Sede en zona clave.""]"
